2020-01-06,35377,0,0,0,0,275.42,0.3,0,0,0,0,0,0,0,0
2020-01-07,0,0,0,0,12,0,0,0,0,0,0,0,0,11.76,11.76
2020-01-07,0,0,0,0,38700,0,0,0,0,0,0,0,0,188.92,3.8
2020-01-07,0,0,0,0,50862,0,0,0,0,0,0,0,0,242.8,3.3
2020-01-07,0,0,0,0,84862,0,0,0,0,0,0,0,0,171.18,3.3
2020-01-07,0,0,0,84987,0,0,0,0,0,0,0,343.3,0,0,0
2020-01-07,0,0,335050,0,0,0,0,0,0,375.3,0,0,0,0,0
2020-01-07,0,1.815237e+06,0,0,0,0,0,410.67,0,0,0,0,0,0,0
2020-01-07,43112,0,0,0,0,114.8,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,0,25,0,0,0,0,0,0,0,0,96.96,8.8
2020-01-08,0,0,0,0,41975,0,0,0,0,0,0,0,0,253.67,0.3
2020-01-08,0,0,0,0,55725,0,0,0,0,0,0,0,0,198.65,3.3
2020-01-08,0,0,0,0,90450,0,0,0,0,0,0,0,0,203.92,0
2020-01-08,0,0,0,92825,0,0,0,0,0,0,0,350.8,0,0,0
2020-01-08,0,0,357887,0,0,0,0,0,0,282.36,0,0,0,0,0
2020-01-08,0,1.960025e+06,0,0,0,0,0,914.55,0,0,0,0,0,0,0
2020-01-08,48575,0,0,0,0,319.03,0.3,0,0,0,0,0,0,0,0
2020-01-09,0,0,0,0,11,0,0,0,0,0,0,0,0,83.3,83.3
2020-01-09,0,0,0,0,22,0,0,0,0,0,0,0,0,101.3,86.8
2020-01-09,0,0,0,0,39366,0,0,0,0,0,0,0,0,404.3,3.3
2020-01-09,0,0,0,0,50788,0,0,0,0,0,0,0,0,150.63,3.3
2020-01-09,0,0,0,0,86144,0,0,0,0,0,0,0,0,183.87,0
2020-01-09,0,0,0,87388,0,0,0,0,0,0,0,230.3,0.3,0,0
2020-01-09,0,0,341166,0,0,0,0,0,0,272.67,0,0,0,0,0
2020-01-09,0,1.865088e+06,0,0,0,0,0,620.3,0,0,0,0,0,0,0
2020-01-09,46677,0,0,0,0,186.05,0,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,0,11,0,0,0,0,0,0,0,0,95.3,95.3
2020-01-10,0,0,0,0,11,0,0,0,0,0,0,0,0,121.31,121.31
2020-01-10,0,0,0,0,45700,0,0,0,0,0,0,0,0,284.76,3.3
2020-01-10,0,0,0,0,50611,0,0,0,0,0,0,0,0,183.67,3.3
2020-01-10,0,0,0,0,86144,0,0,0,0,0,0,0,0,169.55,3.3
2020-01-10,0,0,0,96922,0,0,0,0,0,0,0,187.55,3.3,0,0
2020-01-10,0,0,365877,0,0,0,0,0,0,245.05,0,0,0,0,0
2020-01-10,0,1.780544e+06,0,0,0,0,0,465.13,0,0,0,0,0,0,0
2020-01-10,44922,0,0,0,0,253.3,2.8,0,0,0,0,0,0,0,0
2020-01-11,0,0,0,0,12,0,0,0,0,0,0,0,0,75.8,75.8
2020-01-11,0,0,0,0,56362,0,0,0,0,0,0,0,0,131.9,3.3
2020-01-11,0,0,0,0,65925,0,0,0,0,0,0,0,0,424.29,0
2020-01-11,0,0,0,0,99850,0,0,0,0,0,0,0,0,201.67,0
2020-01-11,0,0,0,124425,0,0,0,0,0,0,0,250.3,0,0,0
2020-01-11,0,0,480662,0,0,0,0,0,0,228.02,0,0,0,0,0
2020-01-11,0,1.808912e+06,0,0,0,0,0,416.15,0,0,0,0,0,0,0
2020-01-11,45125,0,0,0,0,143.45,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,12,0,0,0,0,0,0,0,0,12.8,12.8
2020-01-12,0,0,0,0,48000,0,0,0,0,0,0,0,0,107.46,3.3
2020-01-12,0,0,0,0,52175,0,0,0,0,0,0,0,0,658.35,0.3
2020-01-12,0,0,0,0,83500,0,0,0,0,0,0,0,0,226.42,3.3
2020-01-12,0,0,0,105725,0,0,0,0,0,0,0,331.42,0,0,0
2020-01-12,0,0,396262,0,0,0,0,0,0,431.6,0,0,0,0,0
2020-01-12,0,1.594887e+06,0,0,0,0,0,450.3,0,0,0,0,0,0,0
2020-01-12,38412,0,0,0,0,161.8,0,0,0,0,0,0,0,0,0
2020-01-13,0,0,0,0,47142,0,0,0,0,0,0,0,0,312.46,0
2020-01-13,0,0,0,0,59271,0,0,0,0,0,0,0,0,116.92,3.8
