avgtd,Passanger_count,maxta
2.8142013492345463,1,1100
3.005116965954633,2,335.54
2.909958013137731,6,333.5
2.689824043191505,0,309.73
2.933717648513149,3,222
2.9847743890096345,4,130
2.8557096800541633,5,111.45
3.3147368612454127,9,28.01
2.9599999790901648,8,24.26
3.589655117934634,7,19.73
